,link,image,item
26,https://www.minted.com//product/wall-art-prints/MIN-QJL-GOA/rising-sun,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GOA/QJF/MIN-QJF-GOA-002A_A_PD.jpg?_=16705&,25art.jpg
27,https://www.minted.com//product/wall-art-prints/MIN-WQ8-GNA/domino-effect,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/WQ2/MIN-WQ2-GNA-002A_A_PD.jpg?_=16705&,26art.jpg
28,https://www.minted.com//product/wall-art-prints/MIN-B7S-GNA/peaceful-vines,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/B7O/MIN-B7O-GNA-002A_A_PD.jpg?_=16705&,27art.jpg
29,https://www.minted.com//product/wall-art-prints/MIN-IZH-GNA/curaao,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/IZB/MIN-IZB-GNA-002A_A_PD.jpg?_=16705&,28art.jpg
30,https://www.minted.com//product/wall-art-prints/MIN-YBD-GNA/tracks-no-3,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/YB7/MIN-YB7-GNA-002A_A_PD.jpg?_=16705&,29art.jpg
31,https://www.minted.com//product/wall-art-prints/MIN-66M-GNA/terrazzo,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/66M/MIN-66M-GNA-002A_A_PD.jpg?_=16705&,30art.jpg
32,https://www.minted.com//product/wall-art-prints/MIN-08P-GNA/deep-blue-sea,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/08M/MIN-08M-GNA-002A_A_PD.jpg?_=16705&,31art.jpg
33,https://www.minted.com//product/wall-art-prints/MIN-AMG-GNA/dance,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/AMD/MIN-AMD-GNA-002A_A_PD.jpg?_=16705&,32art.jpg
34,https://www.minted.com//product/wall-art-prints/MIN-FKP-GNA/mariners-muse,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/B00/MIN-B00-GNA-002A_A_PD.jpg?_=16705&,33art.jpg
35,https://www.minted.com//product/wall-art-prints/MIN-SRC-GNA/modern-black-stem,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/SR6/MIN-SR6-GNA-002A_A_PD.jpg?_=16705&,34art.jpg
36,https://www.minted.com//product/wall-art-prints/MIN-WHO-GNA/becketts-poem,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/AUX/MIN-AUX-GNA-002A_A_PD.jpg?_=16705&,35art.jpg
37,https://www.minted.com//product/wall-art-prints/MIN-0W5-GNA/curve-appeal,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/0W4/MIN-0W4-GNA-002A_A_PD.jpg?_=16705&,36art.jpg
38,https://www.minted.com//product/wall-art-prints/MIN-P2Q-GNA/palmery-2,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/2QM/MIN-2QM-GNA-002A_A_PD.jpg?_=16705&,37art.jpg
39,https://www.minted.com//product/wall-art-prints/MIN-DYV-GNA/landscape,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/9A6/MIN-9A6-GNA-002A_A_PD.jpg?_=16705&,38art.jpg
40,https://www.minted.com//product/wall-art-prints/MIN-N2L-GNA/moody-blues-1,http://mintedcdn0.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/N2F/MIN-N2F-GNA-002A_A_PD.jpg?_=16705&,39art.jpg
41,https://www.minted.com//product/wall-art-prints/MIN-M30-GNA/plant-cell-1,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/M2U/MIN-M2U-GNA-002A_A_PD.jpg?_=16705&,40art.jpg
42,https://www.minted.com//product/wall-art-prints/MIN-09P-GNA/late-in-the-day,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/09L/MIN-09L-GNA-002A_A_PD.jpg?_=16705&,41art.jpg
43,https://www.minted.com//product/wall-art-prints/MIN-ULR-GNA/first-of-october,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/ULO/MIN-ULO-GNA-002A_A_PD.jpg?_=16705&,42art.jpg
44,https://www.minted.com//product/wall-art-prints/MIN-MRB-GNA/the-island,http://mintedcdn1.global.ssl.fastly.net/files/mintedProductsImages/MIN/GNA/MR7/MIN-MR7-GNA-002A_A_PD.jpg?_=16705&,43art.jpg
